fastq_name,syn_id,visit,donor_id,library_id
BRI_638R_S25_L001_R1_001.fastq.gz,syn26330763,V1,300-0464,BRI_638R
BRI_638R_S25_L001_R2_001.fastq.gz,syn26330767,V1,300-0464,BRI_638R
BRI_634R_S23_L001_R1_001.fastq.gz,syn26330765,V1,300-0464,BRI_634R
BRI_634R_S23_L001_R2_001.fastq.gz,syn26330769,V1,300-0464,BRI_634R
BRI_630_S21_L001_R1_001.fastq.gz,syn26330698,V0,300-0251,BRI_630
BRI_630_S21_L001_R2_001.fastq.gz,syn26330762,V0,300-0251,BRI_630
BRI_612_S12_L001_R1_001.fastq.gz,syn26330539,V0,300-0151,BRI_612
BRI_612_S12_L001_R2_001.fastq.gz,syn26330545,V0,300-0151,BRI_612
BRI_622_S17_L001_R1_001.fastq.gz,syn26330768,V0,300-0469,BRI_622
BRI_622_S17_L001_R2_001.fastq.gz,syn26330775,V0,300-0469,BRI_622
BRI_606_S9_L001_R1_001.fastq.gz,syn26330513,V0,300-1883,BRI_606
BRI_606_S9_L001_R2_001.fastq.gz,syn26330520,V0,300-1883,BRI_606
BRI_608_S10_L001_R1_001.fastq.gz,syn26330673,V0,300-0411,BRI_608
BRI_608_S10_L001_R2_001.fastq.gz,syn26330676,V0,300-0411,BRI_608
BRI_604_S8_L001_R1_001.fastq.gz,syn26330667,V0,300-2657,BRI_604
BRI_604_S8_L001_R2_001.fastq.gz,syn26330668,V0,300-2657,BRI_604
BRI_614_S13_L001_R1_001.fastq.gz,syn26330679,V0,300-0235,BRI_614
BRI_614_S13_L001_R2_001.fastq.gz,syn26330684,V0,300-0235,BRI_614
BRI_632_S22_L001_R1_001.fastq.gz,syn26330783,V0,300-0462,BRI_632
BRI_632_S22_L001_R2_001.fastq.gz,syn26330785,V0,300-0462,BRI_632
BRI_628_S20_L001_R1_001.fastq.gz,syn26330778,V1,300-0251,BRI_628
BRI_628_S20_L001_R2_001.fastq.gz,syn26330779,V1,300-0251,BRI_628
BRI_590_S6_L001_R1_001.fastq.gz,syn26330527,V0,300-0145,BRI_590
BRI_590_S6_L001_R2_001.fastq.gz,syn26330531,V0,300-0145,BRI_590
BRI_618_S15_L001_R1_001.fastq.gz,syn26330770,V0,300-0417,BRI_618
BRI_618_S15_L001_R2_001.fastq.gz,syn26330771,V0,300-0417,BRI_618
BRI_636_S24_L001_R1_001.fastq.gz,syn26330690,V0,300-0464,BRI_636
BRI_636_S24_L001_R2_001.fastq.gz,syn26330697,V0,300-0464,BRI_636
BRI_616_S14_L001_R1_001.fastq.gz,syn26330689,V0,300-0415,BRI_616
BRI_616_S14_L001_R2_001.fastq.gz,syn26330692,V0,300-0415,BRI_616
BRI_610_S11_L001_R1_001.fastq.gz,syn26330682,V0,301-1469,BRI_610
BRI_610_S11_L001_R2_001.fastq.gz,syn26330686,V0,301-1469,BRI_610
BRI_620_S16_L001_R1_001.fastq.gz,syn26330780,V0,300-0418,BRI_620
BRI_620_S16_L001_R2_001.fastq.gz,syn26330784,V0,300-0418,BRI_620
BRI_626_S19_L001_R1_001.fastq.gz,syn26330688,V0,300-1880,BRI_626
BRI_626_S19_L001_R2_001.fastq.gz,syn26330693,V0,300-1880,BRI_626
BRI_624_S18_L001_R1_001.fastq.gz,syn26330772,V0,300-1879,BRI_624
BRI_624_S18_L001_R2_001.fastq.gz,syn26330774,V0,300-1879,BRI_624
BRI_582_S2_L001_R1_001.fastq.gz,syn26330544,V0,300-2601,BRI_582
BRI_582_S2_L001_R2_001.fastq.gz,syn26330546,V0,300-2601,BRI_582
BRI_602_S7_L001_R1_001.fastq.gz,syn26330666,V0,300-0506,BRI_602
BRI_602_S7_L001_R2_001.fastq.gz,syn26330672,V0,300-0506,BRI_602
BRI_588_S5_L001_R1_001.fastq.gz,syn26330540,V0,301-0169,BRI_588
BRI_588_S5_L001_R2_001.fastq.gz,syn26330550,V0,301-0169,BRI_588
BRI_586_S4_L001_R1_001.fastq.gz,syn26330669,V1,300-0507,BRI_586
BRI_586_S4_L001_R2_001.fastq.gz,syn26330675,V1,300-0507,BRI_586
BRI_571_S40_L001_R1_001.fastq.gz,syn26330525,V0,300-0176,BRI_571
BRI_571_S40_L001_R2_001.fastq.gz,syn26330534,V0,300-0176,BRI_571
BRI_584_S3_L001_R1_001.fastq.gz,syn26330517,V0,300-0410,BRI_584
BRI_584_S3_L001_R2_001.fastq.gz,syn26330524,V0,300-0410,BRI_584
BRI_561_S36_L001_R1_001.fastq.gz,syn26330423,V0,300-0149,BRI_561
BRI_561_S36_L001_R2_001.fastq.gz,syn26330425,V0,300-0149,BRI_561
BRI_551_S31_L001_R1_001.fastq.gz,syn26330376,V0,300-0172,BRI_551
BRI_551_S31_L001_R2_001.fastq.gz,syn26330377,V0,300-0172,BRI_551
