fastq_name,syn_id,visit,donor_id,library_id
BRI-637R_S8_L001_I1_001.fastq.gz,syn26381049,V1,300-0464,BRI-637R
BRI-637R_S8_L002_I1_001.fastq.gz,syn26381050,V1,300-0464,BRI-637R
BRI-637R_S8_L002_R1_001.fastq.gz,syn26381051,V1,300-0464,BRI-637R
BRI-637R_S8_L001_R1_001.fastq.gz,syn26381052,V1,300-0464,BRI-637R
BRI-637R_S8_L001_R2_001.fastq.gz,syn26381057,V1,300-0464,BRI-637R
BRI-637R_S8_L002_R2_001.fastq.gz,syn26381056,V1,300-0464,BRI-637R
BRI-633R_S7_L001_I1_001.fastq.gz,syn26381044,V1,300-0464,BRI-633R
BRI-633R_S7_L002_I1_001.fastq.gz,syn26381045,V1,300-0464,BRI-633R
BRI-633R_S7_L001_R1_001.fastq.gz,syn26381048,V1,300-0464,BRI-633R
BRI-633R_S7_L002_R1_001.fastq.gz,syn26381047,V1,300-0464,BRI-633R
BRI-633R_S7_L001_R2_001.fastq.gz,syn26381055,V1,300-0464,BRI-633R
BRI-633R_S7_L002_R2_001.fastq.gz,syn26381054,V1,300-0464,BRI-633R
BRI-635_S16_L001_I1_001.fastq.gz,syn26380759,V0,300-0464,BRI-635
BRI-635_S16_L003_I1_001.fastq.gz,syn26380764,V0,300-0464,BRI-635
BRI-635_S16_L004_I1_001.fastq.gz,syn26380773,V0,300-0464,BRI-635
BRI-635_S16_L002_I1_001.fastq.gz,syn26380776,V0,300-0464,BRI-635
BRI-635_S16_L002_R1_001.fastq.gz,syn26380766,V0,300-0464,BRI-635
BRI-635_S16_L001_R1_001.fastq.gz,syn26380775,V0,300-0464,BRI-635
BRI-635_S16_L004_R1_001.fastq.gz,syn26380774,V0,300-0464,BRI-635
BRI-635_S16_L003_R1_001.fastq.gz,syn26380767,V0,300-0464,BRI-635
BRI-635_S16_L001_R2_001.fastq.gz,syn26380768,V0,300-0464,BRI-635
BRI-635_S16_L004_R2_001.fastq.gz,syn26380777,V0,300-0464,BRI-635
BRI-635_S16_L003_R2_001.fastq.gz,syn26380772,V0,300-0464,BRI-635
BRI-635_S16_L002_R2_001.fastq.gz,syn26380787,V0,300-0464,BRI-635
BRI-629_S6_L001_I1_001.fastq.gz,syn26381038,V0,300-0251,BRI-629
BRI-629_S6_L002_I1_001.fastq.gz,syn26381041,V0,300-0251,BRI-629
BRI-629_S6_L001_R1_001.fastq.gz,syn26381043,V0,300-0251,BRI-629
BRI-629_S6_L002_R1_001.fastq.gz,syn26381042,V0,300-0251,BRI-629
BRI-629_S6_L001_R2_001.fastq.gz,syn26381053,V0,300-0251,BRI-629
BRI-629_S6_L002_R2_001.fastq.gz,syn26381046,V0,300-0251,BRI-629
BRI-627_S14_L001_I1_001.fastq.gz,syn26380740,V1,300-0251,BRI-627
BRI-627_S14_L002_I1_001.fastq.gz,syn26380743,V1,300-0251,BRI-627
